,Date,Oprice,MaxPrice,MinPrice,CPrice,SMA,std,diff,position,yield_Rate,strategy_return,return_cum,strategy_cum,index,Cumulative_Rate,drawdown,Max_drawdown,log_return,daily_Vlt,annual_Vlt
917,20111011,2625.163,2635.6940000000004,2526.649,2551.994,2577.8404,21.404760803148385,25.846399999999903,0,-0.0019897680246468985,-0.0,0.4738988279332814,0.8239482687050552,917,790.1983430294162,0,0,0.03400384283820501,0,0
918,20111012,2537.3979999999997,2647.015,2523.344,2644.758,2584.674,33.05376641171153,-60.08399999999983,0,0.036349615242041944,0.0,0.49112486799231087,0.8239482687050552,918,791.0222912981212,0,0,-0.03845080652903146,0,0
919,20111013,2636.863,2672.91,2629.405,2662.6009999999997,2599.5572,45.640988961239415,-63.043799999999464,0,0.006746552992750177,0.0,0.49443826794027845,0.8239482687050552,919,791.8462395668263,0,0,-0.006989532483807714,0,0
920,20111014,2655.3579999999997,2665.4429999999998,2629.8790000000004,2653.782,2614.0434,48.938967359763346,-39.73860000000013,0,-0.0033121748245417137,-0.0,0.49280060195691666,0.8239482687050552,920,792.6701878355314,0,0,-0.0013506942283667983,0,0
921,20111017,2658.947,2687.1020000000003,2653.384,2666.9509999999996,2636.0172000000002,42.69774290709038,-30.933799999999337,0,0.0049623518435197855,0.0,0.49524605193252524,0.8239482687050552,921,793.4941361042364,0,0,0.004563326317555385,0,0
922,20111018,2646.841,2651.732,2589.205,2592.209,2644.0602,27.023313086296387,51.85120000000006,0,-0.02802526180645981,-0.0,0.4813666516685006,0.8239482687050552,922,794.3180843729415,0,0,0.017887331998337495,0,0
923,20111019,2599.917,2617.411,2580.663,2583.081,2631.7248,36.355089582615406,48.64379999999983,0,-0.0035213210045947907,-0.0,0.47967160516706886,0.8239482687050552,923,795.1420326416466,0,0,0.012896286751891672,0,0
924,20111020,2566.603,2570.101,2500.486,2520.532,2603.311,52.88145532414919,82.779,0,-0.024214881376155017,-0.0,0.4680564141484384,0.8239482687050552,924,795.9659809103516,0,0,0.017429099086737464,0,0
925,20111021,2522.257,2538.117,2504.6929999999998,2507.877,2574.13,57.06998212020029,66.25300000000016,0,-0.005020765457451115,-0.0,0.46570641267214347,0.8239482687050552,925,796.7899291790567,0,0,0.0020629791199863823,0,0
926,20111024,2517.0589999999997,2581.125,2501.956,2576.669,2556.0735999999997,34.771985480268405,-20.595400000000154,0,0.027430372382696522,0.0,0.4784809129927501,0.8239482687050552,926,797.6138774477618,0,0,-0.021867884174339186,0,0
927,20111025,2572.708,2633.968,2560.047,2625.425,2562.7168,43.19408267066223,-62.70820000000003,0,0.018922104468987122,0.0,0.4875347788148152,0.8239482687050552,927,798.4378257164668,0,0,-0.01564403537435655,0,0
928,20111026,2613.272,2679.658,2611.012,2651.652,2576.4309999999996,56.361363784067564,-75.22100000000046,0,0.009989620728072524,0.0,0.49240506634691994,0.8239482687050552,928,799.2617739851719,0,0,-0.017131894622956945,0,0
929,20111027,2658.428,2672.84,2647.296,2657.478,2603.8202,55.81414383971151,-53.65779999999995,0,0.0021971208891664595,0.0,0.49348693980412217,0.8239482687050552,929,800.085722253877,0,0,-0.013493274923413442,0,0
930,20111028,2694.542,2729.139,2689.3759999999997,2709.0170000000003,2644.0482,43.23402004625535,-64.9688000000001,0,0.019393951709101742,0.0,0.5030576016837557,0.8239482687050552,930,800.909670522582,0,0,-0.003701748062166781,0,0
931,20111031,2704.535,2709.317,2680.992,2695.3070000000002,2667.7758000000003,30.39215498381126,-27.5311999999999,0,-0.0050608763252500966,-0.0,0.5005116893771573,0.8239482687050552,931,801.7336187912871,0,0,0.011912636275171395,0,0
932,20111101,2672.508,2726.0879999999997,2669.05,2697.534,2682.1976,23.11031827214856,-15.33640000000014,0,0.0008262509613932156,0.0,0.5009252376416937,0.8239482687050552,932,802.5575670599922,0,0,0.005237624416051423,0,0
933,20111102,2658.547,2742.938,2653.722,2742.39,2700.3451999999997,27.253801433194546,-42.04480000000012,0,0.016628520715586737,0.0,0.5092548833327788,0.8239482687050552,933,803.3815153286972,0,0,-0.03477599547477413,0,0
934,20111103,2752.627,2781.039,2743.196,2744.301,2717.7098,21.450954826300716,-26.591199999999844,0,0.0006968374301248303,0.0,0.509609751196959,0.8239482687050552,934,804.2054635974023,0,0,-0.006498068653245847,0,0
935,20111104,2770.572,2781.99,2748.978,2763.7459999999996,2728.6556,27.36944122630181,-35.09039999999959,0,0.007085593016217917,0.0,0.5132206384910367,0.8239482687050552,935,805.0294118661074,0,0,0.007092586676912076,0,0
936,20111107,2750.991,2769.296,2733.1679999999997,2736.248,2736.8437999999996,21.70582357248842,0.5957999999995991,0,-0.009949539501820981,-0.0,0.5081143294752204,0.8239482687050552,936,805.8533601348124,0,0,0.0021586420441815405,0,0
937,20111108,2745.059,2756.091,2723.6929999999998,2727.71,2742.879,11.93114928244537,15.168999999999869,0,-0.003120331198049331,-0.0,0.506528844480783,0.8239482687050552,937,806.6773084035175,0,0,0.00215345475530252,0,0
938,20111109,2739.1540000000005,2755.8109999999997,2710.054,2751.6540000000005,2744.7318,12.420618187513782,-6.92220000000043,0,0.008778059251166814,0.0,0.5109751846900603,0.8239482687050552,938,807.5012566722226,0,0,0.006709927574136134,0,0
939,20111110,2720.836,2729.572,2698.3059999999996,2699.5879999999997,2735.7892,21.951243230395917,36.201200000000426,0,-0.018921710360387145,-0.0,0.5013066602440097,0.8239482687050552,939,808.3252049409276,0,0,0.005747444120793191,0,0
940,20111111,2705.243,2713.914,2685.1009999999997,2695.002,2722.0404000000003,21.661721571472764,27.038400000000365,0,-0.001698777739417956,-0.0,0.5004550516489652,0.8239482687050552,940,809.1491532096327,0,0,-0.004536789329445226,0,0
941,20111114,2717.5440000000003,2751.88,2714.862,2750.195,2724.8298000000004,24.07518535255772,-25.36519999999973,0,0.020479762167152415,0.0,0.510704252082086,0.8239482687050552,941,809.9731014783378,0,0,-0.010698236861656774,0,0
942,20111115,2746.7729999999997,2754.0009999999997,2732.913,2744.68,2728.2238,25.401619857009283,-16.456199999999626,0,-0.0020053123505788806,-0.0,0.5096801305378926,0.8239482687050552,942,810.7970497470428,0,0,0.0003331736679431828,0,0
943,20111116,2745.8579999999997,2746.29,2659.1479999999997,2670.116,2711.9162,30.73780902016281,41.80020000000013,0,-0.027166737105964955,-0.0,0.4958337844234358,0.8239482687050552,943,811.6209980157479,0,0,0.027283928728871257,0,0
944,20111117,2671.953,2687.8309999999997,2660.651,2662.0170000000003,2704.402,36.82307470595029,42.38499999999976,0,-0.0030332015537900547,-0.0,0.494329820618101,0.8239482687050552,944,812.444946284453,0,0,0.010642697178767696,0,0
945,20111118,2643.667,2646.2090000000003,2601.179,2606.495,2686.7006,54.240975273680334,80.20560000000023,0,-0.02085711699061288,-0.0,0.4840195257175206,0.8239482687050552,945,813.268894553158,0,0,0.013370156993911994,0,0
946,20111121,2608.556,2613.262,2587.742,2609.687,2658.599,50.32191000747089,48.91200000000026,0,0.0012246330800558258,0.0,0.4846122720401072,0.8239482687050552,946,814.0928428218631,0,0,0.006278688173719581,0,0
