Date,Oprice,MaxPrice,MinPrice,CPrice
20090319,2337.524,2386.228,2331.259,2382.564
20090320,2389.892,2397.207,2343.269,2379.838
20090323,2384.67,2448.351,2375.522,2439.395
20090324,2477.567,2483.833,2440.527,2451.783
20090325,2435.633,2472.938,2401.052,2401.327
20090326,2407.762,2479.826,2379.951,2479.789
20090327,2500.998,2516.384,2481.687,2498.931
20090330,2501.312,2508.138,2471.367,2484.487
20090331,2436.778,2507.899,2423.571,2507.789
20090401,2519.886,2566.536,2519.886,2548.222
20090402,2558.768,2599.252,2558.264,2576.4
20090403,2597.916,2612.37,2555.615,2570.503
20090407,2570.625,2597.062,2543.646,2576.95
20090408,2563.722,2573.093,2479.348,2479.348
20090409,2477.419,2517.741,2457.423,2517.669
20090410,2540.108,2595.598,2530.622,2595.53
20090413,2621.979,2668.282,2619.372,2656.518
20090414,2651.197,2682.908,2637.383,2676.872
20090415,2662.728,2690.642,2627.808,2686.99
20090416,2690.515,2706.625,2643.316,2687.106
20090417,2675.668,2693.291,2628.625,2650.691
20090420,2643.726,2708.452,2640.989,2707.667
20090421,2670.277,2697.719,2634.529,2675.442
20090422,2687.857,2713.305,2563.361,2576.281
20090423,2555.527,2604.162,2543.907,2593.564
20090424,2605.703,2609.874,2570.379,2572.888
20090427,2566.92,2576.519,2499.442,2513.292
20090428,2490.526,2531.544,2485.802,2518.531
20090429,2518.854,2615.81,2514.141,2605.37
20090430,2616.485,2640.017,2604.452,2622.926
20090504,2635.129,2715.189,2632.303,2714.301
20090505,2733.107,2751.252,2713.234,2727.014
20090506,2721.817,2771.206,2713.539,2764.979
20090507,2783.577,2797.474,2731.799,2767.076
20090508,2751.499,2800.223,2733.332,2789.219
20090511,2808.139,2839.609,2725.267,2725.316
20090512,2702.742,2788.612,2699.954,2788.562
20090513,2792.42,2822.711,2775.572,2814.005
20090514,2781.048,2804.477,2757.545,2792.597
20090515,2800.571,2815.456,2773.322,2796.116
20090518,2782.585,2813.757,2740.92,2810.573
20090519,2836.337,2849.629,2821.951,2840.084
20090520,2843.545,2849.635,2812.599,2812.865
20090521,2795.828,2808.287,2735.767,2750.01
20090522,2733.017,2762.741,2719.121,2740.677
20090525,2684.213,2761.387,2675.285,2752.716
20090526,2757.31,2762.809,2718.555,2719.764
20090527,2734.418,2768.568,2715.823,2759.712
20090601,2798.927,2864.471,2798.927,2858.342
20090602,2878.528,2892.781,2855.059,2865.099
20090603,2865.732,2939.387,2864.709,2939.387
20090604,2924.267,2961.04,2899.668,2953.751
20090605,2966.065,2975.175,2937.18,2939.306
20090608,2937.635,2978.233,2912.487,2948.478
20090609,2948.949,2960.902,2892.718,2960.556
20090610,2972.423,2995.699,2966.585,2989.595
20090611,2982.969,3000.857,2951.273,2961.629
20090612,2955.569,2976.864,2883.318,2906.286
20090615,2911.423,2967.099,2898.067,2966.192
20090616,2936.508,2979.413,2929.041,2961.22
20090617,2957.576,3017.409,2930.494,3010.588
20090618,3014.437,3061.747,3014.437,3057.428
20090619,3061.903,3086.72,3047.27,3080.001
20090622,3106.387,3116.155,3072.534,3082.563
20090623,3036.404,3128.527,3028.454,3083.895
20090624,3079.495,3121.207,3068.242,3120.73
20090625,3125.662,3141.166,3103.871,3117.921
20090626,3126.228,3137.082,3109.316,3128.421
20090629,3132.113,3182.415,3122.164,3179.972
20090630,3191.641,3195.716,3159.626,3166.474
20090701,3153.537,3238.792,3150.654,3237.903
20090702,3248.204,3285.093,3247.573,3282.359
20090703,3254.93,3327.669,3249.11,3327.135
20090706,3333.096,3378.055,3333.096,3374.753
20090707,3368.33,3393.224,3327.354,3340.493
20090708,3306.428,3368.066,3261.32,3352.269
20090709,3348.221,3396.483,3334.68,3396.304
20090710,3398.911,3428.029,3375.965,3398.31
20090713,3382.574,3403.74,3358.518,3361.011
20090714,3375.873,3454.753,3375.873,3454.753
20090715,3467.132,3497.508,3467.132,3493.305
20090716,3516.778,3543.019,3489.562,3501.24
20090717,3499.51,3527.465,3482.871,3519.809
20090720,3532.519,3594.872,3515.534,3591.123
20090721,3603.402,3610.326,3533.162,3539.832
20090722,3532.632,3607.371,3532.384,3606.924
20090723,3613.598,3653.837,3596.364,3651.969
20090724,3672.206,3687.493,3591.88,3667.556
20090727,3680.15,3744.242,3669.508,3743.626
20090728,3745.549,3756.782,3705.045,3755.818
20090729,3741.784,3765.59,3453.641,3558.508
20090730,3587.047,3656.922,3511.291,3634.818
20090731,3670.191,3735.804,3635.548,3734.622
20090803,3754.218,3789.935,3716.573,3787.033
20090804,3803.061,3803.061,3712.431,3786.615
20090805,3781.401,3789.127,3691.976,3740.936
20090806,3707.907,3739.578,3602.575,3663.12
20090807,3655.462,3686.543,3539.697,3555.095
20090810,3589.716,3613.457,3485.364,3544.539
20090811,3558.645,3569.15,3509.717,3556.375
20090812,3546.5,3546.5,3390.361,3397.4
20090813,3398.889,3448.862,3338.848,3440.82
20090814,3437.951,3454.945,3334.729,3344.462
20090817,3283.436,3319.804,3137.477,3140.271
20090818,3110.708,3186.815,3083.203,3171.986
20090819,3178.281,3183.007,2982.222,3014.568
20090820,3021.251,3146.568,3021.251,3144.39
20090821,3135.373,3221.166,3113.704,3203.624
20090824,3222.397,3241.524,3178.856,3229.6
20090825,3210.851,3210.851,3019.119,3109.83
20090826,3082.68,3203.786,3065.463,3172.386
20090827,3149.566,3212.27,3116.894,3156.301
20090828,3152.037,3168.191,3030.731,3046.781
20090831,3003.543,3003.543,2825.767,2830.271
20090901,2804.584,2901.277,2795.486,2843.7
20090902,2824.641,2904.786,2813.618,2890.926
20090903,2898.449,3059.987,2892.649,3051.964
20090904,3055.347,3099.385,3038.99,3077.142
20090907,3097.789,3153.227,3078.126,3104.208
20090908,3084.199,3170.967,3047.3,3170.967
20090909,3188.311,3207.388,3143.739,3194.909
20090910,3179.187,3204.124,3150.172,3162.914
20090911,3152.815,3253.452,3152.689,3238.133
20090914,3248.348,3298.905,3240.534,3293.394
20090915,3298.81,3325.743,3264.949,3302.642
20090916,3290.387,3296.94,3212.445,3258.236
20090917,3274.582,3329.116,3274.582,3320.096
20090918,3325.061,3330.432,3170.962,3199.689
20090921,3163.512,3210.643,3090.607,3208.604
20090922,3196.009,3237.217,3131.016,3131.026
20090923,3130.142,3159.173,3041.415,3060.069
20090924,3041.82,3122.055,2989.236,3080.926
20090925,3057.106,3090.069,3028.407,3058.528
20090928,3066.368,3088.081,2959.744,2972.643
20090929,2975.531,2998.55,2923.926,2972.286
20090930,2992.98,3033.738,2988.292,3004.805
20091009,3078.753,3164.031,3071.27,3163.708
20091012,3181.581,3193.59,3151.256,3151.632
20091013,3144.022,3199.921,3140.498,3198.517
20091014,3209.065,3276.553,3204.314,3227.399
20091015,3258.546,3287.628,3227.088,3239.643
20091016,3250.102,3268.425,3188.434,3241.709
20091019,3238.848,3330.789,3231.807,3329.158
20091020,3355.358,3379.63,3343.018,3377.574
20091021,3375.027,3414.657,3358.55,3369.285
20091022,3364.145,3381.145,3341.415,3347.32
20091023,3354.984,3436.391,3354.984,3413.252
20091026,3421.696,3432.895,3385.44,3414.239
20091027,3384.294,3392.102,3314.323,3314.722
20091028,3303.773,3337.167,3258.274,3329.327
20091029,3265.186,3291.18,3239.005,3247.051
20091030,3305.376,3329.54,3276.318,3280.372
20091102,3205.835,3394.724,3198.309,3392.803
20091103,3402.528,3447.481,3397.255,3435.425
20091104,3443.517,3476.34,3415.216,3453.888
20091105,3458.865,3471.83,3432.26,3464.318
20091106,3491.075,3506.027,3474.364,3483.021
20091109,3487.107,3495.887,3452.614,3495.788
20091110,3520.395,3532.186,3501.499,3503.776
20091111,3500.586,3514.829,3468.859,3495.674
20091112,3506.952,3529.061,3487.68,3499.992
20091113,3489.538,3518.894,3445.36,3518.722
20091116,3541.053,3625.887,3541.053,3625.798
20091117,3644.962,3649.422,3619.986,3628.354
20091118,3633.851,3652.809,3612.794,3630.229
20091119,3638.073,3653.899,3604.612,3642.437
20091120,3630.576,3658.214,3597.306,3631.013
20091123,3636.529,3666.27,3628.195,3665.509
20091124,3680.746,3698.129,3538.858,3548.08
20091125,3541.512,3630.301,3508.057,3629.629
20091126,3635.79,3646.607,3472.948,3485.773
20091127,3440.343,3480.931,3367.293,3382.51
20091130,3415.077,3511.765,3415.077,3511.669
20091201,3507.559,3566.78,3485.524,3560.831
20091202,3578.869,3607.561,3570.287,3597.329
20091203,3596.952,3603.122,3551.482,3590.876
20091204,3581.627,3646.263,3530.058,3643.491
20091207,3644.625,3672.798,3633.445,3668.832
20091208,3670.807,3671.042,3590.941,3624.019
20091209,3579.282,3603.696,3543.424,3554.478
